"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"DMA05 JJ1","M0084",0.445333333,0.485,0.465,1.01,1.42,0.014
"DMA05 JJ1","M0084",0.485,0.525666667,0.505,1.02,1.37,0.014
"DMA05 JJ1","M0084",0.525666667,0.568,0.547,1.05,1.24,0.013
"DMA05 JJ1","M0084",0.568,0.606,0.587,1.03,1.34,0.014
"DMA05 JJ1","M0084",0.606,0.645333333,0.626,1.06,1.21,0.013
"DMA05 JJ1","M0084",0.645333333,0.686666667,0.666,1.03,1.33,0.014
"DMA05 JJ1","M0084",0.686666667,0.728,0.707,1.07,1.18,0.013
"DMA05 JJ1","M0084",0.728,0.765666667,0.747,1.1,1.05,0.012
"DMA05 JJ1","M0084",0.765666667,0.805333333,0.786,1.14,0.93,0.011
"DMA05 JJ1","M0084",0.805333333,0.846333333,0.826,1.11,1.01,0.011
"DMA05 JJ1","M0084",0.846333333,0.887666667,0.867,1.1,1.08,0.012
