"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"JBK14 Bajo Final","M0013",1,2.5,1.75,0.26,16.09,0.042
"JBK14 Granja Bajo","M0014",0,0.15,0.075,0.28,16.49,0.046
"JBK14 Granja Bajo","M0014",0.15,0.3,0.225,0.27,15.72,0.042
"JBK14 Granja Bajo","M0014",0.3,0.5,0.4,0.34,10.69,0.036
"JBK14 Granja Bajo","M0014",0.5,1,0.75,0.38,14.29,0.054
"JBK14 Morro Bajo","M0015",0,0.15,0.075,0.36,12.92,0.047
"JBK14 Morro Bajo","M0015",0.15,0.3,0.225,0.24,17.09,0.041
"JBK14 Morro Bajo","M0015",0.3,0.5,0.4,0.27,15.7,0.042
"JBK14 Morro Bajo","M0015",0.5,1,0.75,0.25,15.22,0.038
"JBK14 Morro Bajo","M0015",1,2.27,1.635,0.19,19.89,0.038
"DCD11 G1","M1379",0,3,1.5,0.92,1.69,0.016
"DCD11 G2","M1434",0,3,1.5,0.92,1.74,0.016
"DMA99 HM1","M0016",0,0.35,0.175,0.39,13.8,0.053
"DMA99 HM2","M0017",0,0.58,0.29,0.54,8.6,0.046
"RC99 S1","M0018",0,0.02,0.01,0.15,33.46,0.051
"RC99 S1","M0018",0.02,0.04,0.03,0.39,32.44,0.125
"RC99 S1","M0018",0.04,0.06,0.05,0.33,32.67,0.108
"RC99 S1","M0018",0.06,0.08,0.07,0.33,31.67,0.106
"RC99 S1","M0018",0.08,0.1,0.09,0.37,33.08,0.121
"RC99 S1","M0018",0.1,0.12,0.11,0.15,33.47,0.051
"RC99 S1","M0018",0.12,0.14,0.13,0.14,37.25,0.051
"RC99 S1","M0018",0.14,0.16,0.15,0.14,37.84,0.051
"RC99 S1","M0018",0.16,0.18,0.17,0.12,42.09,0.052
"RC99 S1","M0018",0.18,0.2,0.19,0.14,36.85,0.051
"RC99 S1","M0018",0.2,0.22,0.21,0.14,36.53,0.051
"RC99 S1","M0018",0.22,0.24,0.23,0.15,34.15,0.051
"RC99 S1","M0018",0.24,0.26,0.25,0.15,34.62,0.051
"RC99 S1","M0018",0.26,0.28,0.27,0.15,34.82,0.051
"RC99 S1","M0018",0.28,0.3,0.29,0.15,34.05,0.051
"RC99 S1","M0018",0.3,0.32,0.31,0.15,35.11,0.051
"RC99 S1","M0018",0.32,0.34,0.33,0.15,35.29,0.051
"RC99 S1","M0018",0.34,0.36,0.35,0.14,36.69,0.051
"RC99 S1","M0018",0.36,0.38,0.37,0.14,36.21,0.051
"RC99 S1","M0018",0.38,0.4,0.39,0.14,37.41,0.051
"RC99 S1","M0018",0.4,0.42,0.41,0.14,36.06,0.051
"RC99 S1","M0018",0.42,0.44,0.43,0.15,34.71,0.051
"RC99 S1","M0018",0.44,0.46,0.45,0.14,36.38,0.051
"RC99 S1","M0018",0.46,0.48,0.47,0.14,37.18,0.051
"RC99 S1","M0018",0.48,0.5,0.49,0.33,31.62,0.103
"RC99 S1","M0018",0.5,0.52,0.51,0.33,33.56,0.111
"RC99 S1","M0018",0.52,0.54,0.53,0.41,32.64,0.134
"RC99 S1","M0018",0.54,0.56,0.55,0.34,30.29,0.102
"RC99 S1","M0018",0.56,0.58,0.57,0.35,28.36,0.098
"RC99 S3","M0019",0,0.02,0.01,0.22,29.96,0.067
"RC99 S3","M0019",0.02,0.04,0.03,0.17,25.48,0.044
"RC99 S3","M0019",0.04,0.06,0.05,0.17,23.67,0.04
"RC99 S3","M0019",0.06,0.08,0.07,0.2,23.85,0.047
"RC99 S3","M0019",0.08,0.1,0.09,0.18,24.01,0.043
"RC99 S3","M0019",0.1,0.12,0.11,0.22,25.49,0.057
"RC99 S3","M0019",0.12,0.14,0.13,0.18,26.07,0.047
"RC99 S3","M0019",0.14,0.16,0.15,0.21,26.62,0.057
